link,length,mean_tt,cv_tt
1,730,109.2827302,0.2592829144
2,570,125.2982172,0.2872521968
3,470,71.53004535,0.2058807432
4,810,137.7935623,0.11680039360000001
5,290,51.78732623,0.4964644752
6,320,37.66415552,0.3183984544
7,650,59.05548256,0.0794067688
8,340,62.84962227,0.3809651328
9,540,101.9346861,0.3312151376
10,690,123.0445868,0.2894456704
11,540,155.5711114,0.08789276160000001
12,440,93.92036006,0.3519464968
13,520,119.5117824,0.31146217919999997
14,600,155.1725269,0.3681448456
15,320,37.65676948,0.315430576
16,580,70.9709448,0.1674637728
17,470,54.86903988,0.2345636952
18,400,61.85569693,0.15707234
19,400,101.4261873,0.3338628696
20,740,237.2489813,0.27431267680000004
21,500,31.9260775,0.186288592
22,400,74.58669487,0.3829851096
23,640,104.1095565,0.2972440192
24,360,44.8266484,0.3520600632
25,460,54.80338246,0.2253464064
26,530,148.6803423,0.3545194168
27,430,72.7327918,0.3831744736
28,630,159.6230252,0.3414183688
29,400,89.40602419,0.39969500560000004
30,470,120.8694331,0.2719532288
31,230,22.89565149,0.3222771544
32,580,123.6120875,0.32209429040000004
33,470,41.94357781,0.09006738880000001
34,560,145.640294,0.3232602864
35,330,28.7189579,0.23751065119999998
36,460,174.1337915,0.37759287760000004
37,340,28.9808289,0.1985713984
38,450,143.6812675,0.3948090104
39,630,129.371464,0.362990892
40,420,41.0724188,0.127595952
41,290,66.96194662,0.35384916240000003
42,760,237.3816774,0.2203225432
43,690,84.66381476,0.2288922432
