stop,lambda
1,2.173779413
2,2.781336216
3,2.68850314
4,2.564994144
5,1.661872926
6,2.061023326
7,1.623781014
8,1.559125681
9,1.558505981
10,2.406574647
11,1.997233172
12,1.819956067
13,2.185901162
14,1.903008975
15,1.961348092
16,2.307563305
17,2.56390052
18,1.876555447
19,1.434570199
20,2.146989471
21,1.788885722
22,1.539713043
23,1.892840748
24,1.925372933
25,1.705301646
26,0.99814277
27,1.634303556
28,1.896342841
29,1.642544155
30,1.477924232
31,1.83497831
32,2.09387239
33,1.461983353
34,1.478379923
35,1.460650207
36,1.186555864
37,1.506460355
38,1.178095466
39,1.524440487
40,1.226042941
41,1.278618007
42,1.118046995
43,1.38302709
